"","id","sampleType","CPE_phtype","AmpC_phtype","ESBL_phtype","ESBL_AmpC_phtype","other_phtype","amp_tx","ceft_clavtx"
"437","437","broilers","0","0","0","0","0","1","1"
"438","438","broilers","0","0","0","0","0","0","1"
"439","439","broilers","0","0","0","0","0","0","1"
"440","440","broilers","0","0","0","0","0","0","1"
"441","441","broilers","0","0","0","0","0","0","1"
"442","442","broilers","0","0","0","0","0","0","1"
"443","443","broilers","0","0","0","0","0","0","1"
"444","444","broilers","0","0","0","0","0","0","1"
"445","445","broilers","0","0","0","0","0","0","1"
"446","446","broilers","0","0","0","0","0","0","1"
"447","447","broilers","0","0","0","0","0","0","1"
"448","448","broilers","0","0","0","0","0","0","1"
"449","449","broilers","0","0","0","0","0","0","1"
"450","450","broilers","0","0","0","0","0","0","1"
"451","451","broilers","0","0","0","0","0","0","1"
"452","452","broilers","0","0","0","0","0","0","1"
"453","453","broilers","0","0","0","0","0","0","1"
"454","454","broilers","0","0","0","0","0","0","1"
"455","455","broilers","0","0","0","0","0","0","1"
"456","456","broilers","0","0","0","0","0","0","0"
"457","457","broilers","0","0","0","0","0","0","0"
"458","458","broilers","0","0","0","0","0","0","0"
"459","459","broilers","0","0","0","0","0","0","0"
"460","460","broilers","0","0","0","0","0","0","0"
"461","461","broilers","0","0","0","0","0","0","0"
"462","462","broilers","0","0","0","0","0","0","0"
"463","463","broilers","0","0","0","0","0","0","0"
"464","464","broilers","0","0","0","0","0","0","0"
"465","465","broilers","0","0","0","0","0","0","0"
"466","466","broilers","0","0","0","0","0","0","0"
"467","467","broilers","0","0","0","0","0","0","0"
"468","468","broilers","0","0","0","0","0","0","0"
"469","469","broilers","0","0","0","0","0","0","0"
"470","470","broilers","0","0","0","0","0","0","0"
"471","471","broilers","0","0","0","0","0","0","0"
"472","472","broilers","0","0","0","0","0","0","0"
"473","473","broilers","0","0","0","0","0","0","0"
"474","474","broilers","0","0","0","0","0","0","0"
"475","475","broilers","0","0","0","0","0","0","0"
"476","476","broilers","0","0","0","0","0","0","0"
"477","477","broilers","0","0","0","0","0","0","0"
"478","478","broilers","0","0","0","0","0","0","0"
"479","479","broilers","0","0","0","0","0","0","0"
"480","480","broilers","0","0","0","0","0","0","0"
"481","481","broilers","0","0","0","0","0","0","0"
"482","482","broilers","0","0","0","0","0","0","0"
"483","483","broilers","0","0","0","0","0","0","0"
"484","484","broilers","0","0","0","0","0","0","0"
"485","485","broilers","0","0","0","0","0","0","0"
"486","486","broilers","0","0","0","0","0","0","0"
"487","487","broilers","0","0","0","0","0","0","0"
"488","488","broilers","0","0","0","0","0","0","0"
"489","489","broilers","0","0","0","0","0","0","0"
"490","490","broilers","0","0","0","0","0","0","0"
"491","491","broilers","0","0","0","0","0","0","0"
"492","492","broilers","0","0","0","0","0","0","0"
"493","493","broilers","0","0","0","0","0","0","0"
"494","494","broilers","0","0","0","0","0","0","0"
"495","495","broilers","0","0","0","0","0","0","0"
"496","496","broilers","0","0","0","0","0","0","0"
"497","497","broilers","0","0","0","0","0","0","0"
"498","498","broilers","0","0","0","0","0","0","0"
"499","499","broilers","0","0","0","0","0","0","0"
"500","500","broilers","0","0","0","0","0","0","0"
"501","501","broilers","0","0","0","0","0","0","0"
"502","502","broilers","0","0","0","0","0","0","0"
"503","503","broilers","0","0","0","0","0","0","0"
"504","504","broilers","0","0","0","0","0","0","0"
"505","505","broilers","0","0","0","0","0","0","0"
"506","506","broilers","0","0","0","0","0","0","0"
"507","507","broilers","0","0","0","0","0","0","0"
"508","508","broilers","0","0","0","0","0","0","0"
"509","509","broilers","0","0","0","0","0","0","0"
"510","510","broilers","0","0","0","0","0","0","0"
"511","511","broilers","0","0","0","0","0","0","0"
"512","512","broilers","0","0","0","0","0","0","0"
"513","513","broilers","0","0","0","0","0","0","0"
"514","514","broilers","0","0","0","0","0","0","0"
"515","515","broilers","0","0","0","0","0","0","0"
"516","516","broilers","0","0","0","0","0","0","0"
"517","517","broilers","0","0","0","0","0","0","0"
"518","518","broilers","0","0","0","0","0","0","0"
"519","519","broilers","0","0","0","0","0","0","0"
"520","520","broilers","0","0","0","0","0","0","0"
"521","521","broilers","0","0","0","0","0","0","0"
"522","522","broilers","0","0","0","0","0","0","0"
"523","523","broilers","0","0","0","0","0","0","0"
"524","524","broilers","0","0","0","0","0","0","0"
"525","525","broilers","0","0","0","0","0","0","0"
"526","526","broilers","0","0","0","0","0","0","0"
"527","527","broilers","0","0","0","0","0","0","0"
"528","528","broilers","0","0","0","0","0","0","0"
"529","529","broilers","0","0","0","0","0","0","0"
"530","530","broilers","0","0","0","0","0","0","0"
"531","531","broilers","0","0","0","0","0","0","0"
"532","532","broilers","0","0","0","0","0","0","0"
"533","533","broilers","0","0","0","0","0","0","0"
"534","534","broilers","0","0","0","0","0","0","0"
"535","535","broilers","0","0","0","0","0","0","0"
"536","536","broilers","0","0","0","0","0","0","0"
"537","537","broilers","0","0","0","0","0","0","0"
"538","538","broilers","0","0","0","0","0","0","0"
"539","539","broilers","0","0","0","0","0","0","0"
"540","540","broilers","0","0","0","0","0","0","0"
"541","541","broilers","0","0","0","0","0","0","0"
"542","542","broilers","0","0","0","0","0","0","0"
"543","543","broilers","0","0","0","0","0","0","0"
"544","544","broilers","0","0","0","0","0","0","0"
"545","545","broilers","0","0","0","0","0","0","0"
"546","546","broilers","0","0","0","0","0","0","0"
"547","547","broilers","0","0","0","0","0","0","0"
"548","548","broilers","0","0","0","0","0","0","0"
"549","549","broilers","0","0","0","0","0","0","0"
"550","550","broilers","0","0","0","0","0","0","0"
"551","551","broilers","0","0","0","0","0","0","0"
"552","552","broilers","0","0","0","0","0","0","0"
"553","553","broilers","0","0","0","0","0","0","0"
"554","554","broilers","0","0","0","0","0","0","0"
"555","555","broilers","0","0","0","0","0","0","0"
"556","556","broilers","0","0","0","0","0","0","0"
"557","557","broilers","0","0","0","0","0","0","0"
"558","558","broilers","0","0","0","0","0","0","0"
"559","559","broilers","0","0","0","0","0","0","0"
"560","560","broilers","0","0","0","0","0","0","0"
"561","561","broilers","0","0","0","0","0","0","0"
"562","562","broilers","0","0","0","0","0","0","0"
"563","563","broilers","0","0","0","0","0","0","0"
"564","564","broilers","0","0","0","0","0","0","0"
"565","565","broilers","0","0","0","0","0","0","0"
